name;discount/raise;Price;Rating;Release;Follows;Online;Peak
Cultivation Tales;-60%;23,99zł;37.93%;18 Apr;27,012;46;18 Apr
No Rest for the Wicked;-10%;161,10zł;58.26%;18 Apr;58,073;24,524;18 Apr
下一站江湖Ⅱ;;114,99zł;62.52%;18 Apr;11,167;651;18 Apr
Lotus Lantern: Rescue Mother;-10%;41,39zł;79.03%;12 Apr;2,808;758;12 Apr
Bendy: Secrets of the Machine;;—;78.64%;14 Apr;2,178;274;14 Apr
Tinkerlands: A Shipwrecked Adventure;;—;85.72%;12 Apr;1,923;403;12 Apr
Anomaly Collapse;;91,99zł;76.89%;12 Apr;4,886;189;12 Apr
Nine Realms Prologue;;—;73.98%;15 Apr;232;222;15 Apr
西游记口袋版-0.1折扣版;;—;76.95%;15 Apr;26;209;15 Apr
Survisland / 实境求生;-20%;43,19zł;62.81%;15 Apr;20,661;64;15 Apr
Dusk Pub;-10%;53,99zł;81.51%;12 Apr;3,741;144;12 Apr
Self Defense Dojo;-10%;44,99zł;82.79%;12 Apr;3,265;275;12 Apr
Kill It With Fire 2;-10%;61,19zł;84.16%;16 Apr;2,811;319;16 Apr
Clicker Arena;-10%;36,89zł;47.78%;15 Apr;772;73;15 Apr
Tank Team;;17,99zł;84.71%;12 Apr;568;16;12 Apr
The Crew Motorfest;-50%;144,95zł;26.81%;18 Apr;1,864;385;18 Apr
School Paranormal Laboratory;;17,99zł;51.04%;12 Apr;125;5;12 Apr
Sea of Radiation:Prologue;;—;75.49%;12 Apr;489;67;12 Apr
WOWOWOW KORONE BOX;;—;85.86%;12 Apr;910;88;12 Apr
Vivat Slovakia;-10%;125,09zł;58.05%;18 Apr;1,724;299;18 Apr
Pet Shop Simulator: Prologue;;—;75.36%;16 Apr;975;221;16 Apr
Orgasm Academy 💦;-38%;28,51zł;82.84%;13 Apr;1,111;15;13 Apr
Handsome Me with 100 Girlfriends!;-10%;41,39zł;69.53%;12 Apr;3,251;25;12 Apr
Nexus 5X;;67,99zł;88.24%;18 Apr;7,358;98;18 Apr
Harold Halibut;-15%;137,69zł;73.86%;16 Apr;11,972;199;16 Apr
Sker Ritual;-56%;90,86zł;76.53%;18 Apr;8,719;248;18 Apr
Our Adventurer Guild;-10%;61,19zł;87.62%;12 Apr;1,708;236;12 Apr
Kingsgrave;-10%;41,39zł;66.88%;17 Apr;3,189;149;17 Apr
Island of Penance;-20%;47,99zł;54.49%;13 Apr;1,775;19;13 Apr
共鸣 ReMix;-10%;20,69zł;79.28%;17 Apr;864;36;17 Apr
Survival Nation: Lost Horizon;-10%;61,19zł;56.09%;15 Apr;2,115;16;15 Apr
KitHack Model Club;-20%;63,99zł;80.72%;15 Apr;2,860;83;15 Apr
The World of Gangs;-20%;36,79zł;62.28%;16 Apr;3,429;13;16 Apr
Last Hope;-20%;73,59zł;76.58%;18 Apr;1,143;152;18 Apr
Dream Tactics;-10%;74,69zł;83.90%;15 Apr;2,424;125;15 Apr
BUNNY GARDEN;-10%;103,49zł;—;18 Apr;798;125;18 Apr
The Game of Sisyphus;-40%;19,19zł;73.04%;12 Apr;247;114;12 Apr
Vertical Kingdom;-10%;82,79zł;71.35%;15 Apr;2,586;83;15 Apr
This is a Ghost;-20%;54,39zł;83.65%;17 Apr;1,772;18;17 Apr
Redemption of Li Wei;;31,99zł;57.74%;12 Apr;304;96;12 Apr
LipTrip ~My Boss Is My Heat Suppressant?!~;-10%;44,99zł;75.66%;15 Apr;1,788;10;15 Apr
Trackline Express;-10%;61,19zł;52.39%;18 Apr;1,547;51;18 Apr
捕鱼大玩咖;;—;66.98%;12 Apr;13;2;12 Apr
Lifecraft;-10%;82,79zł;66.03%;16 Apr;1,443;52;16 Apr
SolForge Fusion;-25%;68,99zł;67.59%;16 Apr;420;36;16 Apr
BioGun;-10%;71,99zł;83.72%;16 Apr;2,746;30;16 Apr
Sun Breed;-20%;54,39zł;85.64%;16 Apr;662;52;16 Apr
A New Leaf: Memories;-20%;54,39zł;57.82%;16 Apr;3,511;37;16 Apr
Gym Manager: Prologue;;—;70.75%;17 Apr;109;37;17 Apr
Personal Study;-15%;31,44zł;81.86%;15 Apr;917;52;15 Apr
Gaming Cafe Life;-10%;24,75zł;75.71%;18 Apr;49;9;18 Apr
The Mildew Children;-15%;39,09zł;82.39%;17 Apr;1,034;46;17 Apr
My love with the GirlsGroup;-40%;70,91zł;65.25%;17 Apr;415;11;17 Apr
Tiny Hero Idle;;—;41.45%;13 Apr;17;13;13 Apr
Life Eater;-10%;61,19zł;74.51%;16 Apr;701;12;16 Apr
Alchemy Unbound;;—;59.94%;12 Apr;93;14;12 Apr
Jeepney Simulator 2;-15%;31,44zł;80.72%;12 Apr;187;3;12 Apr
World Turtles;-30%;64,39zł;71.35%;15 Apr;5,290;1;15 Apr
Gensokyo Odyssey;;22,99zł;80.54%;17 Apr;240;16;17 Apr
BIG SHOTS;;114,99zł;59.60%;18 Apr;210;7;18 Apr
Morels: The Hunt 2;-15%;78,19zł;78.30%;17 Apr;231;22;17 Apr
Yerr Out;;—;80.61%;13 Apr;278;0;13 Apr
Press Any Key;;—;79.65%;18 Apr;13;16;18 Apr
Ultimate Scroll;-30%;22,39zł;81.00%;12 Apr;275;0;12 Apr
My Hotel: Echoes of the Past;;—;69.44%;17 Apr;2,172;8;17 Apr
FreeInfantry;;—;70.75%;16 Apr;92;1;16 Apr
Oh Baby Kart;;91,99zł;55.69%;18 Apr;1,048;18;18 Apr
Before The Dawn;-15%;19,54zł;73.26%;18 Apr;326;2;18 Apr
Late Night Drift;-20%;7,19zł;78.74%;15 Apr;88;7;15 Apr
Project Entropy;;—;40.58%;17 Apr;46;13;17 Apr
Rauniot;-10%;74,69zł;75.71%;17 Apr;559;19;17 Apr
Witchcraft Survivors;-30%;16,09zł;75.77%;13 Apr;290;6;13 Apr
Arthas 2;-14%;23,65zł;52.97%;12 Apr;83;1;12 Apr
Artificer's Tower;-20%;54,39zł;59.42%;18 Apr;282;15;18 Apr
Nine Realms;-25%;18,74zł;72.93%;15 Apr;418;9;15 Apr
Scheming Through The Zombie Apocalypse Ep2: Caged;-10%;24,75zł;75.00%;16 Apr;5,865;2;16 Apr
SOUL COVENANT;-10%;208,79zł;—;18 Apr;110;7;18 Apr
CCO Car Crash Online Simulator;-20%;51,19zł;—;15 Apr;9;0;15 Apr
Steel Republic Rail Defender;-40%;55,19zł;58.33%;16 Apr;470;5;16 Apr
Himantolo;;13,49zł;62.10%;15 Apr;69;0;15 Apr
Obilia;;—;53.27%;15 Apr;165;1;15 Apr
Shikhondo: Youkai Rampage;-44%;58,30zł;71.00%;17 Apr;180;4;17 Apr
Demolition Party;-10%;16,19zł;75.10%;12 Apr;60;0;12 Apr
Steel Symphony;;—;64.78%;13 Apr;24;0;13 Apr
Abraca;-20%;32,79zł;74.53%;16 Apr;249;0;16 Apr
Armechgeddon;;36,99zł;76.25%;16 Apr;270;6;16 Apr
Chefs Together;-20%;22,00zł;81.25%;15 Apr;104;0;15 Apr
MechNest;;89,99zł;53.98%;14 Apr;200;0;14 Apr
Dodo;;13,49zł;69.20%;15 Apr;6;6;15 Apr
Heroic Kingdom: Origins;-10%;82,79zł;69.20%;15 Apr;113;4;15 Apr
Resurrection Island: Love and Victory;-10%;24,75zł;69.20%;17 Apr;142;3;17 Apr
Enter The Lost Chamber;-25%;13,49zł;75.00%;16 Apr;42;1;16 Apr
HAELE 3D - Feet Poser Pro;-40%;83,39zł;76.92%;12 Apr;1,227;1;12 Apr
Panda:Eats,Shoots and Leaves;;—;55.69%;16 Apr;18;0;16 Apr
Reigns Beyond;;22,99zł;59.60%;17 Apr;145;3;17 Apr
Soundelta;;—;59.97%;12 Apr;25;0;12 Apr
Age of Fear 5: The Day of the Rat;-15%;118,14zł;64.08%;12 Apr;214;3;12 Apr
Dot Piece Puzzle - Dotpicture;-20%;7,20zł;70.84%;12 Apr;13;1;12 Apr
GAZOLINAS;;31,99zł;—;16 Apr;18;0;16 Apr
Cthulhu's Reach: Devil Reef;-10%;41,39zł;64.78%;15 Apr;223;3;15 Apr
